date,year,month,week_start_date,week_number,week_number_year,trailing_7d,attribution_type,channel_type,strategy,platform,channel,market,investment,agency_fees,violet_fee,sessions,phone_calls,form_submissions,leads,first_appointments_completed,second_appointments_completed,repeat_appointments_completed,first_revenue,repeat_revenue,twenty_one_days_revenue,twenty_eight_days_revenue,ninety_days_revenue,one_hundred_eighty_days_revenue,contribution_margin
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Organic,Bing Organic,Texas,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Organic,Bing Organic,New York,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,331.0,0.0,0.0,0.0,0.0,114.5
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Organic,Bing Organic,DMV,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Organic,Google Organic,Colorado,0.0,0.0,0.0,56.0,0.0,1.0,1.0,1.0,0.0,19.0,190.0,3184.0,0.0,0.0,0.0,0.0,1263.7
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Organic,Yahoo Organic,New York,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,157.0,0.0,0.0,0.0,0.0,58.1
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Organic,Google Organic,Unknown,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Organic,Google Organic,DMV,0.0,0.0,0.0,33.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Paid-Digital,Acquisition,Tik Tok,Tik Tok,DMV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Unattributed,Unknown,Unknown,Unknown,DMV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Unattributed,Unknown,Unknown,Unknown,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Unattributed,Unknown,Unknown,Unknown,Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,33.0,636.0,5413.0,0.0,0.0,0.0,0.0,2236.9
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Unattributed,Unknown,Unknown,Unknown,New York,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,59.0,1554.0,9824.0,0.0,0.0,0.0,0.0,3874.2
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Online Referral,Acquisition,Zoc Doc,Zoc Doc,DMV,201.9,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Online Referral,Acquisition,Zoc Doc,Zoc Doc,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
